time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/std,train/entropy_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate
1,0,2048,5583,,,,,,,,,,,,,
2,0,4096,4311,0.1607992029748857,3.400717258453369,300.0,0.3678763806819916,-25.97392463684082,245.43147737500001,1.813417,1.7272001504898071,0.004479110240936279,0.2,1,0.4853515625,0.0002
3,1,6144,4054,0.22901544533669949,0.11918322183191776,300.0,0.3678716719150543,-25.973268508911133,249.6660589375,1.1174908,0.48590925335884094,-0.6987206935882568,0.2,2,0.462890625,0.0002
4,2,8192,4032,0.09570695273578167,0.12281668558716774,300.0,0.3678663969039917,-25.972427368164062,243.85664145833334,0.31271088,0.2254604697227478,-1.1717338562011719,0.2,3,0.3369140625,0.0002
5,2,10240,4027,0.12233011517673731,0.09320283494889736,300.0,0.36786210536956787,-25.9716215133667,241.61809153125,0.47836244,0.2692447900772095,-0.12851130962371826,0.2,4,0.4248046875,0.0002
6,3,12288,3981,0.17837079614400864,0.07866004854440689,300.0,0.36785775423049927,-25.970890045166016,240.7034963,0.97380686,0.3777400851249695,-0.4768083095550537,0.2,5,0.4384765625,0.0002
7,3,14336,3965,0.10622682888060808,0.08661840111017227,300.0,0.367852121591568,-25.97004795074463,240.7034963,0.70755273,0.23620666563510895,-0.30910491943359375,0.2,6,0.4033203125,0.0002
8,4,16384,3979,0.11418362008407712,0.08440512046217918,300.0,0.36784330010414124,-25.968828201293945,238.9523273125,0.3419883,0.25423550605773926,-1.0209355354309082,0.2,7,0.4033203125,0.0002
9,4,18432,3957,0.13678342662751675,0.0634997095912695,300.0,0.3678402006626129,-25.96782112121582,238.1188038035714,0.41372365,0.2914844751358032,-0.5469141006469727,0.2,8,0.43359375,0.0002
10,5,20480,3943,0.09064551256597042,0.06264737620949745,300.0,0.36783841252326965,-25.967409133911133,235.607147359375,0.36392638,0.2125880867242813,-0.6521453857421875,0.2,9,0.41015625,0.0002
