time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
0,2048,1,5549,,,,,,,,,,,,,
2,4096,2,1862,5,-0.0030248723342083395,1.3436235785484314,300.0,0.03232421875,0.36785584688186646,0.0002,241.999179625,0.2,0.49649980664253235,0.03451824188232422,0.004146841,-25.971473026275635
3,6144,3,1563,10,-0.0028413651511073113,0.08253503646701574,300.0,0.03046875,0.3678692877292633,0.0002,244.473817375,0.2,0.0242887232452631,-0.4366799592971802,0.0037894575,-25.970623683929443
5,8192,4,1448,15,-0.00214931124355644,0.03728159246966243,300.0,0.01796875,0.367882639169693,0.0002,238.72594983333332,0.2,0.000938203651458025,-1.8931925296783447,0.0028737972,-25.973323154449464
7,10240,5,1364,20,-0.0023151253117248416,0.02726868335157633,300.0,0.026953125,0.3679167330265045,0.0002,236.95755496875,0.2,0.0012725619599223137,-0.3807864189147949,0.0017027706,-25.977242088317873
9,12288,6,1322,25,-0.001345811947248876,0.018870014790445568,300.0,0.01923828125,0.36790773272514343,0.0002,235.97488535000002,0.2,-0.0005885655991733074,0.2626553177833557,0.0042467513,-25.9801944732666
11,14336,7,1300,30,-0.0019690470304340123,0.017895409697666766,300.0,0.0337890625,0.36789876222610474,0.0002,235.97488535000002,0.2,-0.0008759968914091587,0.2540518641471863,0.0014514719,-25.977395820617676
12,16384,8,1276,35,-0.002327026752755046,0.01627149381674826,300.0,0.0115234375,0.36783573031425476,0.0002,234.23783254166665,0.2,0.004833653103560209,0.4367222785949707,0.0035594385,-25.97317428588867
14,18432,9,1267,40,-0.0025172364665195348,0.012194525310769677,300.0,0.01494140625,0.36779889464378357,0.0002,233.4465729285714,0.2,-0.004548895172774792,0.008149921894073486,0.0029180285,-25.962081718444825
16,20480,10,1254,45,-0.002435344667173922,0.009756975597701967,300.0,0.01484375,0.3679104447364807,0.0002,230.9805464375,0.2,-0.00626382464542985,0.4504706859588623,0.0044738054,-25.966464900970458
18,22528,11,1240,50,-0.0017862642300315202,0.009544390183873475,300.0,0.0048828125,0.36791324615478516,0.0002,230.75541688888885,0.2,0.00025646877475082874,0.37186336517333984,0.002406397,-25.980357074737547
19,24576,12,1233,55,-0.0021484791301190852,0.009046396892517804,300.0,0.01201171875,0.36774101853370667,0.0002,228.99525350000005,0.2,0.001997914630919695,0.28024303913116455,0.001927795,-25.96849670410156
21,26624,13,1228,60,-0.0029467860935255886,0.008894746424630284,300.0,0.02421875,0.36767786741256714,0.0002,228.5925826477273,0.2,-0.001272678840905428,0.41997063159942627,0.0018072437,-25.941125202178956
23,28672,14,1221,65,-0.0020204269560053943,0.008607705356553197,300.0,0.02978515625,0.3676193356513977,0.0002,228.5925826477273,0.2,-0.0007508792914450169,0.4405463933944702,0.0072440864,-25.935377979278563
25,30720,15,1217,70,-0.0031640784349292518,0.010290347505360842,300.0,0.03349609375,0.36754631996154785,0.0002,229.84949434375002,0.2,-0.006514562759548426,0.47590172290802,0.0033473815,-25.922604846954346
