time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance
2048,1,0,5686,,,,,,,,,,,,,
4096,2,2,1911,0.5098495483398438,0.2,5,238.0197245,-25.970984363555907,0.03046875,1.353396910429001,0.3678525984287262,300.0,0.004014178,-0.003141753072850406,0.0002,0.03620809316635132
6144,3,3,1582,0.02432371862232685,0.2,10,240.4890084375,-25.970691108703612,0.0345703125,0.08282939344644547,0.3678666949272156,300.0,0.0036105246,-0.0027337545529007913,0.0002,-0.42930591106414795
8192,4,5,1453,0.0008819871582090855,0.2,15,234.730660625,-25.972635173797606,0.01533203125,0.03743503950536251,0.3678804337978363,300.0,0.0035007782,-0.002220803778618574,0.0002,-1.9253339767456055
10240,5,7,1381,0.002862725406885147,0.2,20,232.96101518749998,-25.976586151123048,0.03583984375,0.02862500390037894,0.3679109513759613,300.0,0.001493247,-0.0019841007189825175,0.0002,-0.37906551361083984
12288,6,9,1328,-0.00209963321685791,0.2,25,231.97729824999996,-25.97945442199707,0.02255859375,0.01863978332839906,0.3679065704345703,300.0,0.005715157,-0.0011895327595993876,0.0002,0.24860316514968872
14336,7,11,1289,-0.0006532249972224236,0.2,30,231.97729824999996,-25.977473258972168,0.03056640625,0.016968288738280535,0.36789894104003906,300.0,0.0013101231,-0.0020661492832005023,0.0002,0.24319696426391602
16384,8,13,1260,0.005286308936774731,0.2,35,230.2401480625,-25.97257375717163,0.01171875,0.01590448888018727,0.3678229749202728,300.0,0.0044832625,-0.0024498751619830726,0.0002,0.4323378801345825
18432,9,14,1246,-0.004685449413955212,0.2,40,229.45301316071428,-25.959119510650634,0.01123046875,0.012426960049197078,0.36777791380882263,300.0,0.002090312,-0.002602140442468226,0.0002,0.01126319169998169
20480,10,16,1235,-0.00579896429553628,0.2,45,226.98741962499997,-25.962429428100585,0.0154296875,0.010254191677086055,0.36787229776382446,300.0,0.0050684684,-0.0025497396010905502,0.0002,0.45244312286376953
22528,11,18,1227,-0.001604312565177679,0.2,50,226.76222818055555,-25.97168712615967,0.00390625,0.009614669112488627,0.3678525388240814,300.0,0.002290582,-0.0019987990846857427,0.0002,0.35952866077423096
24576,12,20,1221,0.0019771927036345005,0.2,55,224.9985990875,-25.957418155670165,0.01201171875,0.009140012483112515,0.36767658591270447,300.0,0.0018173241,-0.002095014089718461,0.0002,0.274308443069458
26624,13,21,1217,-0.0011942877899855375,0.2,60,224.59472229545455,-25.931408405303955,0.0205078125,0.010139576788060368,0.3676190972328186,300.0,0.0017883589,-0.003103971318341792,0.0002,0.41457271575927734
28672,14,23,1208,-0.0006460566073656082,0.2,65,224.59472229545455,-25.925030517578126,0.033984375,0.008803351595997811,0.3675573170185089,300.0,0.007952219,-0.0018553059548139573,0.0002,0.43676525354385376
30720,15,25,1204,-0.006876970175653696,0.2,70,225.85400490625,-25.912015438079834,0.0392578125,0.011175333987921476,0.3674825429916382,300.0,0.0043286476,-0.0031325991032645105,0.0002,0.4742041826248169
32768,16,27,1201,0.0014500347897410393,0.2,75,225.89175678000004,-25.899130630493165,0.02041015625,0.007543189660646021,0.36739373207092285,300.0,0.0044507226,-0.0021493055974133313,0.0002,0.11846649646759033
34816,17,29,1199,-0.0021607186645269394,0.2,80,225.07768545000002,-25.894933795928956,0.03681640625,0.009342923271469772,0.3674866557121277,300.0,0.0023268887,-0.002288603549823165,0.0002,0.5193318128585815
36864,18,30,1197,-0.004766614176332951,0.2,85,223.42703451999998,-25.90839195251465,0.03662109375,0.008264629961922764,0.36746448278427124,300.0,0.0040261946,-0.003881767229177058,0.0002,0.6007320284843445
38912,19,32,1196,-0.007211060728877783,0.2,90,223.47976226,-25.895671367645264,0.03115234375,0.007418529246933758,0.3673853576183319,300.0,0.003979083,-0.002787580760195851,0.0002,0.4893611669540405
40960,20,34,1195,-0.00779911270365119,0.2,95,223.04031334000004,-25.888103771209718,0.02802734375,0.006514949398115278,0.3673885762691498,300.0,0.0050778543,-0.004068652424030006,0.0002,0.4968087077140808
43008,21,35,1194,0.00424183439463377,0.2,100,223.04031334000004,-25.892047500610353,0.04482421875,0.0063790152315050365,0.36743423342704773,300.0,0.005561243,-0.0029155829921364783,0.0002,0.32133299112319946
45056,22,37,1193,0.010805967263877392,0.2,105,223.98684973,-25.896657276153565,0.049609375,0.006305454741232097,0.3674224317073822,300.0,0.008010301,-0.0030321970116347075,0.0002,0.3334355354309082
47104,23,39,1190,-0.0016900040209293365,0.2,110,222.87551404,-25.891736125946046,0.0509765625,0.007315010041929781,0.36738914251327515,300.0,0.0042062122,-0.001720262982416898,0.0002,0.32937973737716675
49152,24,41,1186,-0.0013285912573337555,0.2,115,223.34971963999996,-25.890256690979005,0.00546875,0.005470785847865045,0.367407888174057,300.0,0.0020031887,-0.0018590363906696439,0.0002,0.46503162384033203
51200,25,43,1183,-0.0026570865884423256,0.2,120,222.93243881,-25.895095443725587,0.0466796875,0.006974920607171952,0.3674352765083313,300.0,0.005208871,-0.0030601252801716328,0.0002,0.46778690814971924
53248,26,45,1181,-4.0067825466394424e-05,0.2,125,223.60951863,-25.896620082855225,0.054296875,0.0074206767836585644,0.3674258589744568,300.0,0.0056351377,-0.003678127517923713,0.0002,0.3757386803627014
55296,27,46,1180,-0.008554929867386818,0.2,130,225.32369716999997,-25.899443531036376,0.058984375,0.006275139562785625,0.367482453584671,300.0,0.009345107,-0.00260680818464607,0.0002,0.4268370270729065
57344,28,48,1180,-0.0019877359736710787,0.2,135,225.32369716999997,-25.90513277053833,0.0734375,0.004989671893417836,0.3674769699573517,300.0,0.009729153,-0.0018535333219915628,0.0002,0.5003308057785034
59392,29,50,1180,-0.004379779100418091,0.2,140,225.25183139000004,-25.904463481903075,0.0455078125,0.009036358795128763,0.3675082325935364,300.0,0.00398949,-0.0018937424756586552,0.0002,0.5322992205619812
61440,30,52,1179,0.009357701987028122,0.2,145,224.47468648999998,-25.913474750518798,0.08759765625,0.0065657322527840735,0.36756250262260437,300.0,0.008181633,-0.0029285073629580437,0.0002,0.4085645079612732
63488,31,53,1179,-0.004596366547048092,0.2,150,223.62663419,-25.923922634124757,0.05458984375,0.009567311313003302,0.3676363229751587,300.0,0.006354724,-0.0024433650309219957,0.0002,0.5009449124336243
65536,32,55,1179,-0.00425439840182662,0.2,155,224.85399593999998,-25.93303165435791,0.066796875,0.008554261177778244,0.36765438318252563,300.0,0.008833066,-0.0033829135296400636,0.0002,0.5754959583282471
67584,33,57,1179,-0.002476610243320465,0.2,160,226.33734611000008,-25.93412494659424,0.1126953125,0.006584649416618049,0.36767205595970154,300.0,0.009385542,-8.297921158373357e-06,0.0002,0.6061784029006958
69632,34,59,1179,-0.0065901572816073895,0.2,165,226.68823772000005,-25.938407993316652,0.07099609375,0.005858402326703071,0.36769065260887146,300.0,0.0074780406,-0.005354719702154398,0.0002,0.5185841917991638
71680,35,60,1179,-0.0007057012990117073,0.2,170,226.68823772000005,-25.936922359466553,0.04658203125,0.005211673048324883,0.36765816807746887,300.0,0.004807083,-0.0037867153529077767,0.0002,0.4741344451904297
73728,36,62,1180,-0.0027741757221519947,0.2,175,226.87225068000004,-25.93439130783081,0.041015625,0.006404318171553314,0.367683470249176,300.0,0.004951765,-0.003441114956513047,0.0002,0.49118566513061523
75776,37,64,1181,-0.0047816326841712,0.2,180,226.18669763000003,-25.940055942535402,0.0810546875,0.007700611581094563,0.3677070438861847,300.0,0.01055882,-0.0034371771034784615,0.0002,0.4918246269226074
77824,38,65,1180,-0.0040435586124658585,0.2,185,226.13680595000005,-25.932520866394043,0.0390625,0.009019009210169316,0.3675600588321686,300.0,0.0055594957,-0.002078759460709989,0.0002,0.5609941482543945
79872,39,67,1179,0.0034279441460967064,0.2,190,226.54093316,-25.9055006980896,0.02734375,0.012121903430670499,0.3674536347389221,300.0,0.005133786,-0.0021629896480590107,0.0002,0.628966212272644
81920,40,69,1177,-0.003465837799012661,0.2,195,226.24404761000002,-25.892075729370116,0.03486328125,0.011642144946381449,0.36737051606178284,300.0,0.0047801198,-0.003120698709972203,0.0002,0.6049882173538208
83968,41,71,1176,-0.007035058923065662,0.2,200,226.24404761000002,-25.876870822906493,0.067578125,0.006007048999890685,0.36727410554885864,300.0,0.005428467,-0.004406883602496236,0.0002,0.4132114052772522
86016,42,73,1175,-0.004624286200851202,0.2,205,226.19049342999998,-25.86319351196289,0.04111328125,0.00801813576836139,0.36722734570503235,300.0,0.007584179,-0.003095323359593749,0.0002,0.5549839735031128
88064,43,74,1175,-0.002800493035465479,0.2,210,226.15938514,-25.86204538345337,0.03095703125,0.009669915540143847,0.36725786328315735,300.0,0.0041149138,-0.0032540530199185016,0.0002,0.5069337487220764
90112,44,76,1175,0.0007700435817241669,0.2,215,225.15026471,-25.865715408325194,0.03740234375,0.010835547605529428,0.3672600984573364,300.0,0.0048047462,-0.0035536822862923144,0.0002,0.5748708248138428
92160,45,78,1174,0.00026240432634949684,0.2,220,224.43325051,-25.86567916870117,0.07822265625,0.009333022963255643,0.36727580428123474,300.0,0.008444402,-0.003781043575145304,0.0002,0.46161597967147827
94208,46,80,1173,-0.006314051803201437,0.2,225,223.63673679,-25.871107578277588,0.0623046875,0.006222212733700871,0.3673290014266968,300.0,0.0059530726,-0.0034560309257358314,0.0002,0.5642448663711548
96256,47,82,1172,-0.0075586456805467606,0.2,230,222.96184978000002,-25.88105192184448,0.04736328125,0.004817187180742621,0.3673694431781769,300.0,0.0073446548,-0.001214616314973682,0.0002,0.5720051527023315
98304,48,83,1171,-0.0046851071529090405,0.2,235,222.96184978000002,-25.883951663970947,0.0302734375,0.005329191056080163,0.36738044023513794,300.0,0.0041157175,-0.003489255905151367,0.0002,0.49542510509490967
100352,49,85,1168,-0.0011495193466544151,0.2,240,222.26244594999997,-25.885933494567873,0.025390625,0.00834714963566512,0.36738598346710205,300.0,0.0036813382,-0.0026817563688382507,0.0002,0.5186983346939087
102400,50,87,1165,-0.007766015827655792,0.2,245,222.11218483000005,-25.88463258743286,0.0474609375,0.0067610291996970774,0.36735400557518005,300.0,0.0049719615,-0.004010599746834487,0.0002,0.5123175382614136
104448,51,90,1153,-0.002233229111880064,0.2,250,222.94428003000004,-25.875614833831786,0.0607421875,0.009922366729006172,0.3672788441181183,300.0,0.0042214463,-0.0016996548627503216,0.0002,0.571198582649231
106496,52,92,1149,-0.0045325420796871185,0.2,255,222.22635216000003,-25.86720561981201,0.06748046875,0.009583438280969858,0.36728519201278687,300.0,0.0040941895,-0.004108061082661152,0.0002,0.6119929552078247
108544,53,94,1146,-0.0011250018142163754,0.2,260,224.47290707,-25.869139671325684,0.0630859375,0.008051773277111351,0.3672711253166199,300.0,0.0028774703,-0.00322750813793391,0.0002,0.6164221167564392
110592,54,96,1140,0.003983975388109684,0.2,265,224.44803149999998,-25.86334810256958,0.04306640625,0.008250395953655242,0.36722302436828613,300.0,0.0076976996,-0.0024687349097803233,0.0002,0.5978171825408936
112640,55,99,1136,-0.00015275739133358002,0.2,270,224.44803149999998,-25.85956916809082,0.06904296875,0.007614322821609676,0.36725038290023804,300.0,0.007794737,-0.006324931234121323,0.0002,0.5438306331634521
