time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/clip_range,train/std
1,5690,0,2048,,,,,,,,,,,,,
2,1912,2,4096,0.2468489706516266,-0.003072422556579113,-25.988318634033202,0.0042245165,0.03620809316635132,238.016455375,0.03046875,5,300.0,0.0002,1.3524235308170318,0.2,0.36806759238243103
3,1582,3,6144,-0.23751232028007507,-0.0028450424550101163,-26.023783683776855,0.0037942384,-0.442950963973999,240.473854625,0.02861328125,10,300.0,0.0002,0.08143799379467964,0.2,0.36830082535743713
4,1452,5,8192,-0.26025018095970154,-0.0022181453299708665,-26.06425905227661,0.0031497094,-1.8685541152954102,234.7071707916667,0.01767578125,15,300.0,0.0002,0.03639783267863095,0.2,0.36854565143585205
5,1381,7,10240,-0.25973737239837646,-0.0022305331309325992,-26.108628463745116,0.0017872509,-0.37684154510498047,232.92655678125,0.0283203125,20,300.0,0.0002,0.027626926079392433,0.2,0.3688226640224457
6,1328,9,12288,-0.262435644865036,-0.0013018163619562984,-26.151751041412354,0.0043320404,0.25309115648269653,231.93257212499998,0.01884765625,25,300.0,0.0002,0.018742819037288427,0.2,0.36906078457832336
7,1289,11,14336,-0.26283153891563416,-0.00196616230532527,-26.19024314880371,0.0015432193,0.24343383312225342,231.93257212499998,0.03154296875,30,300.0,0.0002,0.01785466317087412,0.2,0.3692856729030609
8,1260,13,16384,-0.25733333826065063,-0.002265273930970579,-26.22780704498291,0.0038769043,0.438942551612854,230.18229077083333,0.01259765625,35,300.0,0.0002,0.016134249279275537,0.2,0.3694940507411957
9,1246,14,18432,-0.26699256896972656,-0.0025790565181523562,-26.261105155944826,0.002366391,0.006783008575439453,229.3801925357143,0.012109375,40,300.0,0.0002,0.012464305595494806,0.2,0.3697018027305603
10,1235,16,20480,-0.2688083052635193,-0.0026913841255009176,-26.306369876861574,0.005060359,0.4610884189605713,226.90339695312502,0.0150390625,45,300.0,0.0002,0.010126485978253186,0.2,0.3700566589832306
11,1227,18,22528,-0.2629755139350891,-0.0017848392715677619,-26.36185827255249,0.0029753167,0.3747086524963379,226.66934298611108,0.008203125,50,300.0,0.0002,0.009517602692358195,0.2,0.37032178044319153
12,1221,20,24576,-0.26203036308288574,-0.00202308208681643,-26.392600345611573,0.002202091,0.2725576162338257,224.8965860875,0.01279296875,55,300.0,0.0002,0.009147137869149446,0.2,0.37039893865585327
13,1217,21,26624,-0.26508915424346924,-0.0030075915856286883,-26.406814575195312,0.0020056637,0.4124642014503479,224.48095169318182,0.02080078125,60,300.0,0.0002,0.009609432914294303,0.2,0.37057384848594666
14,1208,23,28672,-0.26530590653419495,-0.002076847548596561,-26.44154872894287,0.0061108004,0.4406384825706482,224.48095169318182,0.0216796875,65,300.0,0.0002,0.00889545464888215,0.2,0.37075966596603394
15,1203,25,30720,-0.27151110768318176,-0.0031483738915994764,-26.46645278930664,0.0035182938,0.47505199909210205,225.72519461458333,0.03154296875,70,300.0,0.0002,0.010486885602585972,0.2,0.37089213728904724
16,1201,27,32768,-0.26200050115585327,-0.002083928172942251,-26.488827228546143,0.004471796,0.11302804946899414,225.74754700000003,0.019921875,75,300.0,0.0002,0.0077716375701129435,0.2,0.3710266053676605
17,1199,29,34816,-0.26911041140556335,-0.0028242842759937047,-26.52583065032959,0.0020873973,0.5139584541320801,224.91276829999998,0.028515625,80,300.0,0.0002,0.009174960083328187,0.2,0.37137967348098755
18,1197,30,36864,-0.269696980714798,-0.00361557052237913,-26.581597232818602,0.003534012,0.5989981889724731,223.23804748999996,0.0349609375,85,300.0,0.0002,0.008163119619712233,0.2,0.37160590291023254
19,1196,32,38912,-0.273161917924881,-0.003061207779683173,-26.608648014068603,0.0048330906,0.4908254146575928,223.26891032999995,0.0283203125,90,300.0,0.0002,0.007387908874079585,0.2,0.37175291776657104
20,1195,34,40960,-0.27355092763900757,-0.003492607385851443,-26.637956428527833,0.0055857915,0.49273765087127686,222.80558124000004,0.03544921875,95,300.0,0.0002,0.006781851314008236,0.2,0.3719613552093506
21,1194,35,43008,-0.2593173086643219,-0.0029562402050942183,-26.676018714904785,0.007889335,0.31580638885498047,222.80558124000004,0.05498046875,100,300.0,0.0002,0.006462749396450818,0.2,0.372215211391449
22,1193,37,45056,-0.25541916489601135,-0.0029541531810536982,-26.715783500671385,0.007245207,0.35648906230926514,223.72886537000002,0.044140625,105,300.0,0.0002,0.0058957893634215,0.2,0.37242794036865234
23,1190,39,47104,-0.2698221802711487,-0.0026074163615703583,-26.74864044189453,0.0026158325,0.33048534393310547,222.59654001999996,0.03154296875,110,300.0,0.0002,0.00719265197403729,0.2,0.3726080060005188
24,1186,41,49152,-0.2704434394836426,-0.0022427017567679284,-26.782372570037843,0.0025699837,0.43516695499420166,223.04625880000003,0.00771484375,115,300.0,0.0002,0.005351176857948304,0.2,0.37286099791526794
25,1183,43,51200,-0.2716098427772522,-0.0033930466044694184,-26.828593158721922,0.00611835,0.4570120573043823,222.60800269999996,0.04873046875,120,300.0,0.0002,0.007019780739210546,0.2,0.3731341063976288
