episode,source,phase
0,0,1.7534304269307837
0,1,1.637267479281748
0,2,3.033280546747275
0,3,1.3319035666338988
1,0,4.64128376758422
1,1,2.5441643085301004
1,2,2.4215620686031776
1,3,1.3610023921260341
2,0,5.794641789823911
2,1,1.7850726354773214
2,2,4.691202423162095
2,3,1.98788162574762
3,0,6.1325473569053095
3,1,2.335378920963851
3,2,1.0325499097406041
3,3,5.311758240888629
4,0,1.3110073475647563
4,1,1.9801256529052995
4,2,3.2131006993150497
4,3,5.819003899162494
5,0,4.214890984917167
5,1,4.539569379126061
5,2,0.23775214121934887
5,3,1.587599915571603
6,0,5.361604343013999
6,1,4.466992028905267
6,2,3.117372857760754
6,3,0.6352225131787979
7,0,0.29557634432736984
7,1,3.7589429516295345
7,2,1.166111524464843
7,3,3.4866455920562665
8,0,6.073401836483756
8,1,5.721461654234964
8,2,3.8610776310597057
8,3,2.8672096827907008
9,0,6.0382872235267495
9,1,3.461279390616724
9,2,2.4105338535071827
9,3,6.194547248801244
10,0,0.5702182028158654
10,1,3.6463359209130526
10,2,1.8767631530392166
10,3,4.222268343675337
