policy,episode,ret,served,dropped,peak_q,mean_q,churn
shortest-path,0,237.0114556205261,0.8665776908110706,0.12903218104777803,0.6433325366123196,0.31380702343788314,0.0
shortest-path,1,220.55605519573754,0.8345589311082721,0.14802399937673405,0.7914025245667629,0.2689707010066657,0.0
shortest-path,2,272.99413873616845,0.9237450778805129,0.05165849084541241,0.7586799970836364,0.28285782375965096,0.0
shortest-path,3,254.9752276509527,0.8655327579986631,0.10484551248971069,0.7642613111659262,0.2755903089442013,0.0
shortest-path,4,243.27151251896348,0.8671174036612419,0.10660532645989958,0.7986417922688693,0.31799708427339285,0.0
shortest-path,5,243.49602190442928,0.8485883435158347,0.11199108314784852,0.8084307218009923,0.3236815002262873,0.0
shortest-path,6,246.0692873155221,0.8623146431413083,0.09958219757502375,0.7765362803492095,0.27210249716433915,0.0
shortest-path,7,278.2696946084995,0.9508150566978932,0.030396308698560075,0.7450784733012311,0.2582351902718563,0.0
shortest-path,8,218.28329001677375,0.8060012700270085,0.16201228470372792,0.8028388583146494,0.29181562742818545,0.0
shortest-path,9,244.32759987753792,0.8601502688037487,0.11815180355710694,0.767264845839749,0.22440807353185402,0.0
backpressure,0,233.58279697261025,0.8669682281308035,0.12850510155740957,0.5888799458390598,0.312407928288255,0.23641796413913876
backpressure,1,229.25315949655788,0.860658870055648,0.12484553602984465,0.7096987044406828,0.24777271716407806,0.14133220584468392
backpressure,2,280.5418986493075,0.9466501657890559,0.028799825465557594,0.6809737834849054,0.26620490694667404,0.18211055471651016
backpressure,3,263.69990020060743,0.8894735382024558,0.08377623356857261,0.6269995356878204,0.24994808267217483,0.12708093755507632
backpressure,4,251.3539695279294,0.8963264057912482,0.0796609354342745,0.6396101068103217,0.25354517133859383,0.29046706073816225
backpressure,5,269.43394593769546,0.9141981160039038,0.05025777285995893,0.7375071794552652,0.2989102588971831,0.22723253258902304
backpressure,6,260.01692413883734,0.8976770223546221,0.06267408172133217,0.7361189226718163,0.2702420086306923,0.14460050008318825
backpressure,7,280.0625805506919,0.966706382875933,0.013217540991819777,0.5037373610198259,0.2023519714936633,0.33793723251332836
backpressure,8,251.30263528483016,0.8855206655458847,0.07638613342059933,0.7717285323445564,0.30677258349371717,0.2339819785729755
backpressure,9,253.50266074229881,0.8833854733931931,0.0968823537413629,0.7261024810820247,0.21147687127203119,0.07281548914105335
ppo 4M,0,236.27786124084048,0.865568168618141,0.12631897742965148,0.6181792374414573,0.32538047198695086,0.04943168237818586
ppo 4M,1,244.16352974080692,0.88946070742202,0.09286831081365253,0.6095377820436142,0.25520654494186396,0.009040367025636683
ppo 4M,2,294.8028516664458,0.9740764279371584,0.006334317691860205,0.5472362312747078,0.25180598285172306,0.009335955466674534
ppo 4M,3,280.26548932504755,0.9207266013691299,0.05036376127976695,0.6030731151133498,0.26070042636362245,0.01999228058097354
ppo 4M,4,273.5514512859945,0.9396175419496549,0.04475007719333583,0.5941084007637693,0.2515735418059944,0.02100787810172135
ppo 4M,5,288.101988575994,0.9483127252612402,0.017940084812418367,0.6369813342787624,0.29980531703013164,0.006206713877621465
ppo 4M,6,277.7322560524993,0.9315562658571299,0.026617375380569422,0.6200385843109948,0.29268212478867356,0.0071281080106319564
ppo 4M,7,290.5407546667216,0.9806137890439155,0.0021395561265193817,0.4402563686318031,0.20074816045413907,0.023809799936609224
ppo 4M,8,269.4396268784325,0.9183784879116211,0.04331834235423613,0.6614673952569403,0.3036069941499111,0.005173336129060845
ppo 4M,9,270.4304900819885,0.916951551212061,0.05951021382647013,0.6869271474689318,0.23775739122846654,0.003686765627026316
ppo 400k (baseline),0,239.68803375955247,0.872577447523822,0.12282570327520394,0.6422749042680128,0.31724279425447105,0.0002150438936341103
ppo 400k (baseline),1,231.09200706231044,0.8583656752999536,0.12249901728762183,0.7680160883246323,0.2734879529712484,0.0002054999138486233
ppo 400k (baseline),2,280.86727851482846,0.9406695729102279,0.03327695852469329,0.7355075290737734,0.2822860667171171,0.00014816328823485475
ppo 400k (baseline),3,262.069258042795,0.8807300617195376,0.08948423796443428,0.7158724981965688,0.27273064971725564,0.00021934607385455486
ppo 400k (baseline),4,253.44459529444697,0.8895681615657874,0.08258494674644794,0.7596957009181169,0.30366013136334297,0.00014221181370010927
ppo 400k (baseline),5,259.6768618177285,0.8836060647398006,0.07630026039178883,0.8070922716480823,0.33713674091226675,0.00023677794497498086
ppo 400k (baseline),6,261.0410373895116,0.8948185148383158,0.06532143438021956,0.7618871785807013,0.28487456398627314,0.00022015487388270334
ppo 400k (baseline),7,284.03419932391427,0.9640751360982172,0.01722035236574222,0.7090089260042555,0.2363609983196535,0.00029909545855194146
ppo 400k (baseline),8,231.72268620892467,0.8354836573110779,0.13135080832691434,0.8011067264334727,0.30592241363211553,0.0001631819148587344
ppo 400k (baseline),9,256.64987259767406,0.8869275578089151,0.0907532858529678,0.7583764944487833,0.2368348038747467,0.00013758857896881732
ppo 400k gain 1.0,0,237.93255994350054,0.8688657504745394,0.12672806538069692,0.6545724516690643,0.31566348227496027,0.00689089583663273
ppo 400k gain 1.0,1,221.9339286271097,0.838031875926447,0.14470915639741472,0.7887795220482013,0.2692401155193619,0.00720035910495103
ppo 400k gain 1.0,2,274.79481935263794,0.9270555667106106,0.045808714094561796,0.7470522057339585,0.29838417655747784,0.006854851499616196
ppo 400k gain 1.0,3,257.95077541241113,0.8718830428647327,0.09767805581430683,0.7483097566724289,0.28034320080305064,0.006852330359089162
ppo 400k gain 1.0,4,246.23284735062552,0.8728557497732731,0.09772685717800843,0.8007257047018476,0.33780318074879184,0.006748691237341104
ppo 400k gain 1.0,5,246.56673565243668,0.8552645986711054,0.10466380286620787,0.8062536172596072,0.33300225373855274,0.006702410418983688
ppo 400k gain 1.0,6,256.13999184713725,0.8842562083169831,0.07610838447648888,0.7632721644521838,0.28468016720127487,0.006783182638967658
ppo 400k gain 1.0,7,281.510439216582,0.9579947832872082,0.02169795439438019,0.7234822829425966,0.2560886899104132,0.006861065942649405
ppo 400k gain 1.0,8,223.47086521243406,0.817831428516335,0.15018430464516858,0.7929912534615948,0.29251973688598376,0.006875944705068362
ppo 400k gain 1.0,9,250.6137656527343,0.8737918445563124,0.10361051064524801,0.7596476673256931,0.24176438046431234,0.006854703396676142
ppo 400k no churn,0,239.7451744440207,0.8727059906509586,0.12268595602594067,0.6422600262815611,0.3166239450110937,0.00021899846334821652
ppo 400k no churn,1,231.6474865482741,0.8595816731714788,0.12105283411315491,0.7666980591414546,0.2731878188004849,0.00022118750372418768
ppo 400k no churn,2,281.03537977536575,0.9410076021308046,0.03283016374196611,0.7361147245330512,0.2819261799278786,0.00014929822327415182
ppo 400k no churn,3,262.13189264508003,0.8808601318044865,0.08933316969058623,0.7126887073057135,0.2725049838778701,0.00022264192126706948
ppo 400k no churn,4,253.5633794053269,0.8897473059797418,0.08207173231747375,0.7585396164416702,0.301956454462113,0.00015355441523668515
ppo 400k no churn,5,259.86870825234047,0.8839363503884463,0.07576957457993429,0.8082849899296056,0.3402920350428823,0.0002456577331426432
ppo 400k no churn,6,261.14695754746595,0.8950043192631011,0.06502147459396088,0.7628482739524219,0.28617250256153426,0.00023225061174690805
ppo 400k no churn,7,284.04844281430826,0.964119945140443,0.01721411814595287,0.709378932091455,0.23609207410861938,0.00032759098731338036
ppo 400k no churn,8,232.0818477943099,0.8361704064034193,0.13032272101255862,0.8014828271410558,0.30665494385729075,0.0001694125119811929
ppo 400k no churn,9,256.7370958801015,0.8871240148193243,0.09056528966813167,0.7573220159295346,0.2362498262851769,0.00014728968323806722
ppo 400k both,0,236.42861176967176,0.865483024564098,0.12999455960012768,0.6440375700405309,0.3133797713024512,0.0076180843696312525
ppo 400k both,1,224.3147297179683,0.8432318044217351,0.13841098153212295,0.7820370249249398,0.27208787545126795,0.0070252370898910635
ppo 400k both,2,276.31265363685645,0.9307692425372983,0.04336551162640435,0.7813951702611883,0.29323012295582257,0.005844239870009202
ppo 400k both,3,258.08606989563026,0.8723235755349135,0.09769206914902764,0.74697816156601,0.27365656941813526,0.0061587564375257375
ppo 400k both,4,247.2889998495019,0.8760363529610362,0.09634890026029885,0.776747845162455,0.306109906910746,0.0060424171946599535
ppo 400k both,5,244.76473259759513,0.8511916868393105,0.1083823685127544,0.8148990146685217,0.3349035269274748,0.006389129192663904
ppo 400k both,6,246.98776040729496,0.8634699186777628,0.09515150648159512,0.7893656787750776,0.2797756021638961,0.0059717176854719115
ppo 400k both,7,279.64323037916955,0.9540899363064421,0.026887572549071335,0.7494225250143624,0.2528915230209489,0.005982669540160671
ppo 400k both,8,223.43611532790624,0.818098507726284,0.1515076686420417,0.8141631714288652,0.3045223712642658,0.006201746165972908
ppo 400k both,9,249.23899418011447,0.8711445940798151,0.10738901245413968,0.7683454592153682,0.23527324075881131,0.00650062901180694
ppo 400k absolute,0,239.4330795152287,0.8720865872097304,0.12348414041103829,0.6374000404511481,0.311593903309428,0.0001394067301792992
